id,failure_id,asset_config_id,event_description,mode_id,mode_description,date,time,detection,service_delay,immediate_investigation,type,safety_failure,hazard_id,cm_description,replaced_asset_config_id,cm_start_date,cm_start_time,cm_end_date,cm_end_time,oem_failure_reference
,8229,STC-ATS-SRS,"ICC LC ATS , SRS1 Data Logger DL Communication link down,SRS2 Data Logger communication link down messages shows on ATS Alarm page.Reported by LC Arun.",ATS05,ATS SRS failure,09/01/2019,04:06,Inspection,0,installation workmanship error,Software,No,,"Network restored ,server responding correctly",None,09/01/2019,07:06,10/03/2019,09:06,
,8250,STC-ATS-SRS,All ZC and SRS communication lost in SCADA,ATS05,ATS SRS failure,09/01/2019,11:34,ATS,0,Software issue,Software,No,,"9:24  Thales team restart the ATS wks server after that fault was normalized
 11:40 h Informed to DNP, MSI ,SMC & FRT team",None,09/01/2019,14:34,10/03/2019,16:34,
,8252,STC-VOBC-T105,"T105 both the VOBC are non communicating but train is accepting Drag & Drop command, cannot open the train doors by ATS/Reset the trains, routed to pseudo & platform train doors are opening with MSD but no indication on ATS for train opening",VOBC02,VOBC-ATS comms failure,09/01/2019,12:59,ATS WKS,0,Software issue,Software,No,," 12:44 Informed to DNP, MSI ,SMC & FRT team
 12:47 Self Normalized. Confirmed with Thales SIG",None,09/01/2019,15:59,10/03/2019,17:59,
,8253,STC-VOBC-T106,"T106 both the VOBC are non communicating but train is accepting Drag & Drop command, cannot open the train doors by ATS/Reset the trains, routed to pseudo & platform train doors are opening with MSD but no indication on ATS for train opening",VOBC02,VOBC-ATS comms failure,09/01/2019,13:06,ATS WKS,0,Software issue,Software,No,," 12:44 Informed to DNP, MSI ,SMC & FRT team
 12:47 Self Normalized. Confirmed with Thales SIG",None,09/01/2019,16:06,10/03/2019,18:06,
,8330,STC-ATS-RL,Shutter door A-47 disturbed while train movement through WBCD,ATS06,ATS shutter door interface failure,10/01/2019,17:15,ATS,0,Open and close status observed by ICC,Hardware,No,,"17:40 Informed to SMC MEP Team
 MEP team updated, fault will be investigated tonight
 Remedial Action : ICC Receiving Open and Close status , and there is no issue with Roller Shutter. ",None,10/01/2019,20:15,11/03/2019,22:15,
,8333,STC-ATS-RL,"SBL 2 WEST/SBL 2- when UTO train is routed, train stops at west side and does not proceeds till east side",ATS07,ATS lose control on trains,10/01/2019,17:53,ATS,0,Software issue,Software,Yes,HZ142,"18:30 Informed to Thales SIG team. It is known issue as per Thales
 Thales SIG updates: 1/29/2019 12:28
 Known Issue and will be updated in New software",None,10/01/2019,20:53,11/03/2019,22:53,
,8352,STC-ZC-24,ICC LC ATS WKS ZC 24B Communication Lost/Initial action taken restarted the ZC24B,ZC01,Zone Controller Comms failure,10/01/2019,23:41,ATS,0,Software issue,Software,Yes,HZ56,"ICC Initial action taken restarted the ZC24B. Fault  Normalized at23:11. Reported by ICC LC Arun.
 Known issue by Thales team.",None,11/01/2019,02:41,12/03/2019,04:41,
,9386,STC-ZC-24,ICC LC ATS work station ZC 24-B Fail/Try to Restart ZC24-B/Not normaliz,ZC05,Zone controller software failure-self normalised,15/01/2019,00:13,ATS,0,Software issue,Software,No,,"00:18 Informed to Thales SIG 
 00:30 Self Normalized
 Known issue by Thales",None,15/01/2019,03:13,16/03/2019,05:13,
,9400,STC-ZC-24,ICC LC ATS work station ZC 24-A Fail/Try to Restart ZC24-A/Not normaliz,ZC05,Zone controller software failure-self normalised,15/01/2019,04:27,ATS,0,Software issue,Software,No,,"04:29 informed to Thales DNP SIG and SMC FRT.
 05:50 Restarted manually ZC24A by Thales/SMC FRT. Normalized",None,15/01/2019,07:27,16/03/2019,09:27,
,9403,STC-VOBC-T105,SBL1W/T105 CBTC applied EB due to obstructed motion detected,VOBC08,Wayside obstacle detection spurious activation,15/01/2019,04:59,Inspection,0,Obstruction in train motion,Hardware,Yes,HZ323,Obstruction cleared,None,15/01/2019,07:59,16/03/2019,09:59,
,9410,STC-VOBC-T115,T115 pick Run-2 intend of Run-1/Reset train and reassign,VOBC07,Train did not pick up assignment,15/01/2019,06:06,Inspection,0,Software issue,Software,Yes,HZ390,Reset command given by LC .Operation restarted,None,15/01/2019,09:06,16/03/2019,11:06,
,9411,STC-VOBC-T115,"T115 Run1 departure time from Al Qassar at 05:58 but in time table it should be 06:02, T115 depart earlier then time",VOBC02,VOBC-ATS comms failure,15/01/2019,06:11,ATS,0,signalling issue picked up wrong time,Software,No,,06:20 Informed to Thales Sig Team,None,15/01/2019,09:11,16/03/2019,11:11,
,9929,STC-ZC-7,ICC LC ATS work station ZC 7-B Fail/Self normalized @13:30,ZC05,Zone controller software failure-self normalised,19/01/2019,16:32,ATS,0,Software issue,Software,No,,"13:30 Self normalized
 17:20 Informed to Thales Sig team",None,19/01/2019,19:32,20/03/2019,21:32,
,9944,STC-ATS-RL,Depot Roller shutters RSD-A48/Normalized by Exercising shutter door,ATS06,ATS shutter door interface failure,19/01/2019,19:09,ATS,0,rsd disturbed,Hardware,No,,"19:50 Informed to Thales Sig Team and SMC MEP Team and FRT
 20:56  Thales STC &  EQU  shutter door team  said that tommorrow do the   join investigation for this issue. MSI updates WO closed with reference to latest WO to be investigated by MSI. WO-19012019-17",None,19/01/2019,22:09,21/03/2019,00:09,
,9949,STC-ZC-11,11 B communication failure/Self normalized at 20:03,ZC05,Zone controller software failure-self normalised,19/01/2019,22:05,ATS,0,Software issue,Software,No,,"22:04 fault self  normalized
 22:06 Informed to STC &SMC STC team",None,20/01/2019,01:05,21/03/2019,03:05,
,9951,STC-VOBC-T121,"Location RSD-A02W/T121 reports unknown position, VOBC status is fluctuating from Active to non communicating. NCO created and disappear.",VOBC02,VOBC-ATS comms failure,19/01/2019,22:33,ATS,0,Software issue,Software,Yes,HZ94,"3:30 Informed to Thales STC & SMC  team
 As per Thales its known issue",None,20/01/2019,01:33,21/03/2019,03:33,
,10527,STC-VOBC-T122,CC Duty Manager 17-Jan-2019 at 15:20 STC ZC T122 at Oqba P1 UTO ZC 10A lost communication and T122 (Run 10) hold at Oqba Platform 1,ZC01,Zone Controller Comms failure,21/01/2019,16:12,ATS,0,Software issue,Software,Yes,HZ16,"T122 depature command given by LC. This fault was normalized at the same time 
 18:00 informed to Thales SIG DNP
 Thales updated: Train was delay due to train depart command not executed by LC on time. ATS to ZC10A communication lost occurred and cleared immediately, as per system reaction T122 got hold at PF.",None,21/01/2019,19:12,22/03/2019,21:12,
,10552,STC-ATS-WS2,"ATS crashed, Line controller 2",ATS04,ATS software crash,21/01/2019,22:42,ATS,0,Software issue,Software,No,,"22:52  LC restarted  ATS  wks fault was cleared
 23:55 Informed to Thales STC ",None,22/01/2019,01:42,23/03/2019,03:42,
,10553,STC-VOBC-T124,ICC - Integrated Control Centre T124 routed from PS 1102 TO R-RAB-TB05(drag and drop) train stop at RSST020. LMA only at the station. Train doors/PSD open and close and LMA extended,VOBC02,VOBC-ATS comms failure,21/01/2019,22:49,ATS,0,Software issue,Software,No,,"20:57 Informed to STC & SMC team
 Thales SIG updates: 1/29/2019  12:28
 Known Issue and will be updated in New software",None,22/01/2019,01:49,23/03/2019,03:49,
,10776,STC-VOBC-T123,T123 VOBC 1 is non communicating after energisation & EB cannot be released,VOBC02,VOBC-ATS comms failure,22/01/2019,13:41,ATS,0,Software issue,Software,Yes,HZ174,"14:30 Informed to Thales Sig Team and FRT
 15:15 Reset VOBC in DM1 and release EB
 Fault Normalized",None,22/01/2019,16:41,23/03/2019,18:41,
,10777,STC-VOBC-T118,T118 VOBC 1 is non communicating after the energisation,VOBC02,VOBC-ATS comms failure,22/01/2019,13:47,ATS,0,Software issue,Software,Yes,HZ175,"14:30 Informed to Thales Sig Team and FRT
 15:00 Reset VOBC in DM1. Fault normalized",None,22/01/2019,16:47,23/03/2019,18:47,
,11053,STC-ZC-24,ICC - ZC 24A failed,ZC04,Zone Controller comms card failure,22/01/2019,14:54,ATS,0,Hardware issue,Hardware,Yes,,"15:15 Informed to Thales Sig Team
 Thales team update - This is known issue on hardware. Issue will be resolved in next hardware batch update",None,22/01/2019,17:54,23/03/2019,19:54,
,11075,STC-ZC-24,"ZC 24, 25, 26, 27 Communication lost",ZC02,Multiple Zone Controller Comms failure,22/01/2019,21:14,ATS,0,Software issue,Software,Yes,HZ65,"Communication lost and normalized within 3 seconds. Communication established
 Informed to Thales SIG. confirmed self normalized.",None,23/01/2019,00:14,24/03/2019,02:14,
,11096,STC-ATS-WS-1,ATS of LC Workstation was crashed,ATS04,ATS software crash,23/01/2019,05:19,ATS,0,Software issue,Software,No,,"05:37 LC restarted and  normalised
 As per Thales this is known issue.",None,23/01/2019,08:19,24/03/2019,10:19,
,11097,STC-ATS-VCP,VCP cannot be controlled from CIC workstation and LC work station,ATS01,ATS VCP embedded software failure,23/01/2019,05:22,SCADA,0,Software issue,Software,No,,"05:20 informed to Thales SCD team at NMOC / SMC
  TEL
 8:21 Thales DNP updated chrome session refreshed",None,23/01/2019,08:22,24/03/2019,10:22,
,11102,STC-ATS-VCP,On 22/01/2019 DM Noticed VCP-2 was not working in Crisis management room at Building 14 Level 2,ATS01,ATS VCP embedded software failure,23/01/2019,09:16,SCADA,0,Screen uncompatible for workstation,Hardware,No,,"9:22 Informed to DNP & SMC tele
 10:00 h Thales DNP team updated This is hardware issue. It seems screen is not compatible for the work station. 
 Also their request was to display crisis room wall screens as ICC VCP which is not part of design.",None,23/01/2019,12:16,24/03/2019,14:16,
,11115,STC-VOBC-T107,T124 not moving when routed to test track,VOBC07,Train did not pick up assignment,23/01/2019,18:19,ATS,0,Software issue,Software,No,,"14:35 h Informed to Thales STC & SMC  team
 19:20 h VOBC-2 manually  reset done  by Thales STC & SMC  STC team fault normalized.
 ",None,23/01/2019,21:19,24/03/2019,23:19,
,11130,STC-ZC-24,SRS ZC-24A failed,ZC05,Zone controller software failure-self normalised,24/01/2019,00:52,ATS,0,Software issue,Software,No,,"23:03 ZC-24A failed. Restarted by LC. Normalized
 Thales Known issue
 informed to Thales SIG",None,24/01/2019,03:52,25/03/2019,05:52,
,11135,STC-ZC-8,"ZC 8,10,14,13,12,11,7 Communication lost",ZC01,Zone Controller Comms failure,24/01/2019,02:04,ATS,0,Software issue,Software,Yes,HZ280," 00:48  SELF NORMALISED
 informed to Thales SIG",None,24/01/2019,05:04,25/03/2019,07:04,
,11142,STC-VOBC-T123,"T123, not able to release EB from ATS and train doors not opening from ATS",VOBC10,EB could not be reset,24/01/2019,04:01,ATS,0,Software issue,Software,No,,"Late reporting by RKH 
 12:51 Train Driver release EB manually and fault normalized.",None,24/01/2019,07:01,25/03/2019,09:01,
,11143,STC-VOBC-T127,T127 Self test 08 failed in SCADA,VOBC04,Train unable to set in sleep mode,24/01/2019,04:12,SCADA,0,Software issue,Software,No,,"04:11 informed to KS staff
 04:23 KS checked and found No fault in TCMS.
 04:30 Fault normalized after ICC put the T127 to sleep and wake up.",None,24/01/2019,07:12,25/03/2019,09:12,
,11149,STC-VOBC-T122,T122 ACB 1001 Over-speed Detected,VOBC05,Overspeed,24/01/2019,05:33,ATS,0,Overspeed detected,Software,Yes,HZ247,"05:35 informed to Thales SIG
 05:21  EB normalized after remote reset by LC",None,24/01/2019,08:33,25/03/2019,10:33,
,11150,STC-VOBC-T122,T122 ACB 1001 Over-speed Detected,VOBC05,Overspeed,24/01/2019,05:36,ATS,0,Overspeed detected,Software,Yes,HZ246,"05:36 informed to Thales SIG
 05:21  EB normalized after remote reset by LC",None,24/01/2019,08:36,25/03/2019,10:36,
,11184,STC-ATS-VCP,SCADA web server is down. View lost on all system and on VCP,ATS01,ATS VCP embedded software failure,24/01/2019,18:04,SCADA,0,Software issue,Software,Yes,HZ149,"17:41 Informed to SCADA team,they checked and confirmed servers are healthy issue is from Telecom network side.
 17:42 Informed to SMC team.
 17:48 Informed to Thales DNP and MSI.
 18:10 Thales restarted the network from Thales office in Depot and then fault normalised network establised.
 Thales is doing investigation on this issue.
 MSI updates:1/28/2019 09:00
 ICC telecom network issue- due to system migration from ITF and ECC the storage server down.",None,24/01/2019,21:04,25/03/2019,23:04,
,11189,STC-ATS-VCP,Energy view of depot is not fully available on VCP,ATS01,ATS VCP embedded software failure,24/01/2019,20:04,SCADA,0,Software issue,Software,No,,Adjusted the view by Thales SCADA Team,None,24/01/2019,23:04,26/03/2019,01:04,
,11239,STC-ATS-VCP,"All VCP monitors in ICC went shutdown, image was Blank later normalized but with an improper display status",ATS01,ATS VCP embedded software failure,25/01/2019,09:28,Monitoring,0,Software issue,Software,No,,"8:10 Informed to Thales DNP
 8:30  Thales resteart the application ",None,25/01/2019,12:28,26/03/2019,14:28,
,11242,STC-ATS-WS-1,Line Controller Work Station-1 ATS Crashed during the Train Operations,ATS04,ATS software crash,25/01/2019,10:39,ATS,0,Software issue,Software,No,,"8:11 Initial Action by LC Restarted the ATS application
 10:40 Informed to Thales STC & SMC team",None,25/01/2019,13:39,26/03/2019,15:39,
,11260,STC-VOBC-T121,T121 VOBC 1 shows Passive only,VOBC01,VOBC Passive,25/01/2019,17:31,Inspection,0,Software issue,Software,Yes,HZ370,"System rebooted , fault normalized",None,25/01/2019,20:31,26/03/2019,22:31,
,11264,STC-VOBC-T107,T107 shows VOBC 2- Passive only,VOBC01,VOBC Passive,25/01/2019,18:58,ATS,0,Software issue,Software,Yes,HZ140,"18:50 Informed to Thales signaling team and SMC.
 Thales confirmed the fault was occurred due to improper movement of mode selector by Train operator(KS) when train moves from LMT line to SBL.
 19:30 Sent FRT to reset the VOBC manually.After reset the VOBC fault normalised.",None,25/01/2019,21:58,26/03/2019,23:58,
,11296,STC-ATS-WS2,"ICC Line Controller Work Station 2, ATS application Crashed during Train Movement",ATS04,ATS software crash,26/01/2019,07:47,ATS,0,Software issue,Software,No,,"07:59 LC Initial action taken restarted the ATS application. Normalized
 8:50 Informed to Thales STC & SMC team",None,26/01/2019,10:47,27/03/2019,12:47,
,11337,STC-VOBC-T111,"Reverse output failure due to which EB applied , VOBC 2 became passive",VOBC01,VOBC Passive,26/01/2019,17:18,ATS,0,Software issue,Software,Yes,HZ141,"18:30 Informed to Thales STC 
 1/27/2019 10:09 as per Thales SIG, need further investigation on this issue.
 Thales SIG updates: 1/29/2019 12:28
 Known Issue and will be updated in New software",None,26/01/2019,20:18,27/03/2019,22:18,
,11343,STC-ZC-11,ZC hardware failure . No output,ZC01,Zone Controller Comms failure,26/01/2019,20:12,ATS,0,Hardware issue,Hardware,Yes,HZ60,"Fault was self normalized within 3 sec.
 20:07 Informed to Thales sig team.",None,26/01/2019,23:12,28/03/2019,01:12,
,11352,STC-VOBC-T115,T115 VOBC 1 Status showing passive,VOBC01,VOBC Passive,27/01/2019,06:26,ATS,0,Software issue,Software,No,,"06:08 LC tried to reset remotely but unsucessful. On-board TA cannot do manual reset as per ICC
 As per Thales Sig the Train Driver change the mode very quickly at around 05:30 that’s why the fault occur.
 6:50 informed to FRT team to reset VOBC 1 manually
 07:10 FRT book in at WAK
 07:28 on-board T115 at PF2
 07:37 FRT reset via VOBC pushbutton at cab console but unsuccessful. Reset VOBC from MCB at DM1. VOBC restarted. updated to RKH FC, VOBC is now working.
 07:40 Book out.
 VOBC status showed normal after T115 was moved.",None,27/01/2019,09:26,28/03/2019,11:26,
,11701,STC-VOBC-T103,"T103 when routed to stabling 6 East, stopped at stabling 6 West, Stabling 6 East vacant but train didn't moved",VOBC07,Train did not pick up assignment,27/01/2019,19:00,ATS,0,Software issue,Software,Yes,HZ130,"19:10 Informed to Thales STC & SMC STC team
 1/28/2019  10:52  Thales SIG DNP updates: Known issue. Will be rectified in the next ATS sofware version.",None,27/01/2019,22:00,29/03/2019,00:00,
,11707,STC-VOBC-T107,"T107 routed to stabling, but the train not continuing to Stabling-07 West",VOBC07,Train did not pick up assignment,27/01/2019,20:49,Inspection,0,Signalling software issue on ATS train assignment,Software,Yes,HZ391,Under investigation by Thales,None,27/01/2019,23:49,29/03/2019,01:49,
,11711,STC-ZC-24,Zone Controller ZC 24-A Communication lost 2 times,ZC01,Zone Controller Comms failure,28/01/2019,01:38,Inspection,0,Software issue,Software,Yes,HZ375,"Network restored,Communication re-established",None,28/01/2019,04:38,29/03/2019,06:38,
,11713,STC-ZC-24,Zone Controller ZC 24-B Communication Lost,ZC01,Zone Controller Comms failure,28/01/2019,02:32,ATS,0,Software issue,Software,Yes,HZ129,"2:15 LC restarted the ZCB remotely then normalised.
 3:15 Informed to Thales signlaing.",None,28/01/2019,05:32,29/03/2019,07:32,
,11720,STC-VOBC-T105,"EB applied due to over speed, Actual speed was 48 kmph, where as sweep TSR of 45 kmph applied",VOBC05,Overspeed,28/01/2019,05:40,ATS,0,Overspeed detected,Software,Yes,HZ49,"LC EB reset command given and fault normalized  at 05:24
 ACB 1001 located at zone boundary of Zone 10 & 8.
 informed to Thales SIG DNP and SMC SIG
 Thales SIG Updates: 1/29/2019 12:28
 Known Issue and will be updated in New software",None,28/01/2019,08:40,29/03/2019,10:40,
,11724,STC-VOBC-T105,T105 was routed to SBL 07- East but it was stopped at SBL 07-West,VOBC02,VOBC-ATS comms failure,28/01/2019,07:47,ATS,0,Signalling software issue on ATS train assignment,Software,Yes,HZ71,As per Thales its  a Known Issue ,None,28/01/2019,10:47,29/03/2019,12:47,
,11728,STC-VOBC-T112,RSD-A47 got Disturbed while routing train T112 to WBCD,VOBC02,VOBC-ATS comms failure,28/01/2019,09:51,ATS,0,RSD not closed,Hardware,No,,"09:26  LC did exercised 3 times and fault normalized 
 as per Thales SIG, no issue from their side.
 1/29/2019 17:58 MEPS/EQU no more further investigation to be done from their side. WO to be closed",None,28/01/2019,12:51,29/03/2019,14:51,
,11760,STC-ATS-WS-1,LS ATS workstation was crashed,ATS04,ATS software crash,28/01/2019,15:20,ATS,0,Software issue,Software,No,,"16:57 LC restarted the ATS wks
 17:32  Informed to Thales STC team",None,28/01/2019,18:20,29/03/2019,20:20,
,11788,STC-VOBC-T118,T118 applied EB and Reset command from ATS is not available,VOBC10,EB could not be reset,28/01/2019,21:17,Inspection,0,Software issue,Software,No,,Application restarted and issue further to be resolved in next software update.,None,29/01/2019,00:17,30/03/2019,02:17,
,11790,STC-ATS-VCP,"Information controller not able to put Monitor-2 on VCP for cycle of cameras through SCADA by using switch on default monitor 2,while on Monitor-1 cycle of cameras working normal",ATS01,ATS VCP embedded software failure,28/01/2019,23:40,SCADA,0,Software issue,Software,No,,"On VCP monitor-2 cycle of cameras are not playing from switch on deafult monitor2 option in SCADA-CTV wks whereas it is palying from switch on monitor1 option.
 2:58 Informed to Thales DNP.
 29-01-2019 0100 hrs  –THALES Restarted services and now normal",None,29/01/2019,02:40,30/03/2019,04:40,
,11803,STC-ATS-WS-1,NO playback data available from 17:03 to 23:36 in Duty manager workstation ATS -WKS-0023,ATS08,ATS playback failure,29/01/2019,03:30,Inspection,0,Software issue,Software,No,,Playback data updated IN ATS-workstation,None,29/01/2019,06:30,30/03/2019,08:30,
,12550,STC-ATS-SRS,Central Server SRS-1 Failure,ATS05,ATS SRS failure,29/01/2019,18:11,ATS,0,Software issue,Software,Yes,HZ153,"17:15 informed to Thales SIG
 17:19 informed to SMC SIG
 17:40 - 17:46 Thales SIG restarted SRS 1  and fault normalized.updated RKH FC
 Thales SIG suspected due to temperature in SER is a bit high. FC verified to BMS operator in NMOC found room temp is 21C, requested to adjust to lower.
 20:29 FC confirmed to BMS operator the return air temp is now 15C.",None,29/01/2019,21:11,30/03/2019,23:11,
,12572,STC-ZC-24,"ZC-24A,ZC-25A,ZC-26A and ZC-27A lost communication with ATS",ZC01,Zone Controller Comms failure,29/01/2019,22:50,ATS,0,Software issue,Software,Yes,HZ02,"ZC 24/25/26 comm lost with ATS and with in fraction of seconds normalised.
 ZC 27 is not yet handovered by Thales.
 00:30Informed to Thales signaling team.",None,30/01/2019,01:50,31/03/2019,03:50,
,12581,STC-ATS-VCP,"ATS VCP crashed, Screen become blank for few minutes",ATS04,ATS software crash,30/01/2019,05:05,Monitoring,0,Installation workmanship error,Hardware,No,,"ATS -VCP application crashed.
 3:18 Informed to Thales team checked and found power fluctuation on VCP and they restart the application from  SIG side and adjustment the view on VCP.but again reoccurred@7:10
 Thales Sig requested to be check by Thales TEL team. 
 09:55 informed to Thales DNP
 [THALES] – 1020 THALES team found loose power connector in VCP controller, fixed issue
 ",None,30/01/2019,08:05,31/03/2019,10:05,
,12589,STC-ATS-VCP,"ATS VCP crashed, Screen become blank for few minutes",ATS04,ATS software crash,30/01/2019,07:38,Inspection,0,Software issue,Software,No,,Restarted the Application. Its a known issue and will be fixed after New Software update,None,30/01/2019,10:38,31/03/2019,12:38,
,12812,STC-VOBC-T111,"STC-STC-ATS-T111-SBL -06 West-UTO-T111, When routed from Pseudo Platform to SBL06, could not align with SBL -06 East. Stopped at SBL -06 West",VOBC03,VOBC stopping point inaccurate,01/02/2019,11:28,ATS,0,Software issue,Software,Yes,HZ201,"12:02 Informed to Thales signaling.
 23:00 Thales STC team updated  restarted both central servers",None,01/02/2019,14:28,02/04/2019,16:28,
,12814,STC-VOBC-T111,"Tried to put in sleep mode, but wake-up due to VOBC Self test failure twice (11:35:32H & 11:49:46H)",VOBC04,Train unable to set in sleep mode,01/02/2019,11:58,ATS,0,Software issue,Software,No,,"As per Thales , Train is not aligned so that is reason LC unable to put into sleep mode. ",None,01/02/2019,14:58,02/04/2019,16:58,
,12815,STC-VOBC-T111,"Tried to put in sleep mode, but wake up due to VOBC Self test failure (11:35:37H)",VOBC04,Train unable to set in sleep mode,01/02/2019,12:05,ATS,0,Software issue,Software,No,,"As per Thales , Train is not aligned so that is reason LC unable to put into sleep mode. ",None,01/02/2019,15:05,02/04/2019,17:05,
,12816,STC-VOBC-T111,"Tried to put in sleep mode, but wake up due to VOBC Self test failure (11:35:42H)",VOBC04,Train unable to set in sleep mode,01/02/2019,12:05,ATS,0,Software issue,Software,No,,"As per Thales , Train is not aligned so that is reason LC unable to put into sleep mode. ",None,01/02/2019,15:05,02/04/2019,17:05,
,12817,STC-VOBC-T124,"Line Controller reported STC VOBC T124 at SBL 06 UTO mode. Tried to put in sleep mode, but wake up due to VOBC Self test failure and rolling stock fault FDS-ODD (11:35:48H)--",VOBC04,Train unable to set in sleep mode,01/02/2019,12:09,ATS,0,Software issue,Software,No,,"14:17 FRT and KS team informed
 15:28 - 15:40 KS team with FRT checked and found that detector 4 is showing in TCMS in both Car A & B. KS reset FACP in Car B and then reset TCMS. Fault Rectified. 
 FC confirmed indication normalized in SCD. Same updated to RKH FC. ICC put T124 to sleep and wake. now successful.",None,01/02/2019,15:09,02/04/2019,17:09,
,12828,STC-VOBC-T122,Line Controller STC VOBC RSD-A03 E-UTO-T122 Active Car C: VOBC 1 status non communicating in ATS-Degraded Performance-Priority-02-LC Akimi reset VOBC 1-13:48-,VOBC02,VOBC-ATS comms failure,01/02/2019,14:39,ATS,0,Software issue,Software,Yes,HZ177,"13:48 LC VOBC reset command. Fault normalized
 14:42 Informed to Thales SIG DNP",None,01/02/2019,17:39,02/04/2019,19:39,
,12838,STC-VOBC-T112,"Line Controller reported -STC--VOBC-T112-DECC Platform 2-UTO-T112 Active Car A, VOBC 2 status is non communicating, alarm in ATS-Fully Functional-Priority-02-VOBC Resetted by LC-15:59-",VOBC02,VOBC-ATS comms failure,01/02/2019,16:22,ATS,0,Software issue,Software,Yes,HZ164,"15:59 LC reset VOBC 2 remotely. Normalized
 17:08 informed to Thales SIG DNP",None,01/02/2019,19:22,02/04/2019,21:22,
,12839,STC-VOBC-T115,"Line Controller reported STC--VOBC-T115-Between Westbay and DECC Platform 1-UTO-T115 Active Car C, VOBC 1 status is non communicating, When train was leading towards DECC from Westbay-Fully Functional-Priority-02-Self normalised-16:22-ATS Alarm- ATS communication with VOBC 1029 on T115 lost.",VOBC02,VOBC-ATS comms failure,01/02/2019,16:34,ATS,0,Software issue,Software,No,,"16:22 Self Normalized
 17:08 informed to Thales SIG DNP",None,01/02/2019,19:34,02/04/2019,21:34,
